escola;genero;ano;enredo;letra
Mangueira;Samba-Enredo;2019;;"[Enredo: História pra Ninar Gente Grande.
Mangueira, tira a poeira dos porões. Ô, abre alas pros teus heróis de barracões. Dos Brasis que se faz um país de Lecis, jamelões. São verde e rosa, as multidões.
Mangueira, tira a poeira dos porões. Ô, abre alas pros teus heróis de barracões. Dos Brasis que se faz um país de Lecis, jamelões. São verde e rosa, as multidões.
Brasil, meu nego. Deixa eu te contar. A história que a história não conta. O avesso do mesmo lugar. Na luta é que a gente se encontra.
Brasil, meu dengo. A Mangueira chegou. Com versos que o livro apagou. Desde 1500 tem mais invasão do que descobrimento. Tem sangue retinto pisado. Atrás do herói emoldurado. Mulheres, tamoios, mulatos. Eu quero um país que não está no retrato.
Brasil, o teu nome é Dandara. E a tua cara é de cariri. Não veio do céu. Nem das mãos de Isabel. A liberdade é um dragão no mar de Aracati.
Salve os caboclos de julho. Quem foi de aço nos anos de chumbo. Brasil, chegou a vez. De ouvir as Marias, Mahins, Marielles, malês."
Portela;Samba-Enredo;2019;;"[Enredo: Na Madureira Moderníssima, Hei Sempre de Ouvir Cantar Uma Sabiá.
Axé, sou eu. Mestiça, morena de Angola, sou eu. No palco, no meio da rua, sou eu. Mineira, faceira, sereia a cantar, deixa serenar. Que o mar de Oswaldo Cruz a Madureira. Mareia a brasilidade do meu lugar. Nos versos de um cantador. O canto das raças a me chamar. De pé descalço no templo do samba estou. É rosa, é renda pra Águia se enfeitar. Folia, furdunço, ijexá. Na festa de Ogum beira-mar. É ponto firmado pros meus orixás, Eparrei!.
Eparrei Oyá, Eparrei. Sopra o vento, me faz sonhar. Deixa o povo se emocionar. Sua filha voltou, minha mãe.
Eparrei Oyá, Eparrei. Sopra o vento, me faz sonhar. Deixa o povo se emocionar. Sua filha voltou, minha mãe.
Pra ver a Portela tão querida. E ficar feliz da vida. Quando a Velha Guarda passar. A negritude aguerrida em procissão. Mais uma vez deixei levar meu coração. A Paulo, meu professor. Natal, nosso guardião. Candeia que ilumina o meu caminhar. Voltei à Avenida saudosista. Pro Azul e Branco modernista eternizar. Voltei, fiz um pedido à Padroeira. Nas Cinzas desta Quarta-feira, comemorar.
Nossas estrelas no céu estão em festa. Lá vem Portela com as bênçãos de Oxalá. No canto de um Sabiá, sambando até de manhã. Sou Clara Guerreira, a filha de Ogum com Iansã.
Nossas estrelas no céu estão em festa. Lá vem Portela com as bênçãos de Oxalá. No canto de um Sabiá, sambando até de manhã. Sou Clara Guerreira, a filha de Ogum com Iansã."
Mancha Verde;Samba-Enredo;2019;;"[Enredo: Oxalá, Salve a Princesa! A Saga de Uma Guerreira Negra.
Tambores vão ecoar, a festa vai começar. O meu batuque traz a força do terreiro. A mancha verde é kizomba, amor. Salve a princesa! Viva o povo negro!.
Tambores vão ecoar, a festa vai começar. O meu batuque traz a força do terreiro. A mancha verde é kizomba, amor. Salve a princesa! Viva o povo negro!.
O ora ie ie ô ora ie ieu mamãe Oxum. Um ventre de luz, o fruto do amor. Kaô kabecilê Xangô. África, suntuosa riqueza. África, reluz o encanto e a nobreza.
A fé conduz o Congo a lutar. Tristeza marejou meu olhar. Oh Senhor, tem piedade. Dos corações sem liberdade.
A alma que chora, a pele que sangra. Qual será o meu valor?. Entrego minha vida. Rainha do mar, Iemanjá.
A alma que chora, a pele que sangra. Qual será o meu valor?. Entrego minha vida. Rainha do mar, Iemanjá.
Aportei, na terra do Sol e do maracatu. Vidas no suspiro derradeiro. Na fria solidão do cativeiro. Mãos calejadas a lavourar. Não perdi a fé nos Orixás.
Senhora do Rosário, oh, Nossa Senhora. Aos pés do seu altar, clamo a igualdade. Palmares, vi um céu de luz e liberdade. A força de Zumbi a nos guiar. Nas bênçãos de Oxalá."
Unidos da Tijuca;Samba-Enredo;2019;;"[Enredo: Cada Macaco No Seu Galho. Ó, Meu Pai, Me Dê o Pão Que Eu Não Morro de Fome!.
Hoje a Tijuca pede em oração. Veste a fantasia pra fazer o bem. Multiplica o sagrado pão. Amém (amém).
Meu filho. Como é lindo o amanhecer. Reflete o Sol, a criação. Um bom dia a renascer. Pelos olhos do pavão. Sou a fé na vida. Esperança da massa. Aquele que na dor te abraça. Sou eu, a verdade pra quem pede luz. Carregando a sua cruz. O alimento em comunhão. Princípio da salvação.
Ouço chamar meu nome. Ouço um clamor de prece. Choro ao te ver com fome. Sou o cordeiro que a alma fortalece.
Só existe um caminho (por favor). Cada um faz seu destino (meu senhor). As migalhas do poder que o diabo amassou. Estão dentro de você. As mãos unidas vem pedindo o perdão. Gente sofrida com a paz no coração. Dividem o pouco que tem pra comer. Dividem o pouco que tem pra comer.
Ó, meu pai, o seu amor é a receita. Iluminai, que não me falte o pão na mesa. Derrame igualdade, prosperidade. As bênçãos do céu. Se Deus é por nós, escute a voz. Que vem do meu Borel.
Hoje a Tijuca pede em oração. Veste a fantasia pra fazer o bem. Multiplica o sagrado pão. Amém (amém)."
Vila Isabel;Samba-Enredo;2019;;"[Enredo: Em Nome do Pai, do Filho e dos Santos, a Vila Canta a Cidade de Pedro.
Viva a princesa e o tambor que não se cala. É o canto do povo mais fiel. Ecoa meu samba no alto da serra. Na passarela, os herdeiros de Isabel.
Viva a princesa e o tambor que não se cala. É o canto do povo mais fiel. Ecoa meu samba no alto da serra. Na passarela, os herdeiros de Isabel.
Vila, te empresto meu nome. Fonte de tanta nobreza. Por Deus e todos os santos. Honre a tua grandeza. E subindo, pertinho do céu. A névoa formava um véu. Lembrei de meu pai, minha fortaleza. Esculpida em pedras, pedros e coroados. Os seus guardiões, protetores de raro esplendor. Luar do imperador.
Meu olhar lacrimejou. Em águas tão cristalinas. Uma cidade divina. Bordada em nobre metal, a joia imperial.
Meu olhar lacrimejou. Em águas tão cristalinas. Uma cidade divina. Bordada em nobre metal, a joia imperial.
Petrópolis nasce com ar de Versalhes. Adorna a imensidão. A luz assentou o dormente. Fez incandescente a imigração. No baile de cristal, o tom foi redentor. Em noite imortal, floresceu um novo dia. Liberdade, enfim, raiou.
Não vi a sorte voar ao sabor do cassino. Segundo o dom que teceu o destino. Meu sangue azul no branco desse pavilhão. O morro desce em prova de amor. Encontro da gratidão.
Viva a princesa e o tambor que não se cala. É o canto do povo mais fiel. Ecoa meu samba no alto da serra. Na passarela, os herdeiros de Isabel.
Viva a princesa e o tambor que não se cala. É o canto do povo mais fiel. Ecoa meu samba no alto da serra. Na passarela, os herdeiros de Isabel."
Grande Rio;Samba-Enredo;2019;;"[Enredo: Quem Nunca? Que Atire a Primeira Pedra.
Tá errado, não importa quem errou. O pecado e o pecador. Sempre estão do mesmo lado. Tá errado, sem lição nem professor. Se o espinho fere a flor. O amor é maculado. No jeitinho que impera nessas bandas. É mais fácil o mau caminho pra jogar no tabuleiro. Na verdade do espelho. Quando a razão desanda. Vai seguindo em desalinho. Mesmo com o sinal vermelho.
Atire a primeira pedra aquele que não erra. Quem nunca se arrependeu do que fez. Na vida todo mundo escorrega. Melhor se machucar só uma vez.
Atire a primeira pedra aquele que não erra. Quem nunca se arrependeu do que fez. Na vida todo mundo escorrega. Melhor se machucar só uma vez.
Cardume de garrafas pelo mar. Nem tarrafa nem puça alimentam o pescador. E a cisma de atender o celular. Pra curtir, compartilhar. Zombar do perigo, largar o amigo, perder o pudor. Quem aí tá podendo julgar?. Não consegue ouvir outra voz. Cada um foi pensando em si. Olha o que fizemos de nós. Então pegue seu filho nas mãos. Educar é um desafio. Se errei peço perdão. Renasce a Grande Rio.
Quem nunca sorriu da desgraça alheia?. Quem nunca chorou de barriga cheia?. Eu sou Caxias de tantos carnavais. Falam de mim, eu falo de paz.
Quem nunca sorriu da desgraça alheia?. Quem nunca chorou de barriga cheia?. Eu sou Caxias de tantos carnavais. Falam de mim, eu falo de paz."
Gaviões da Fiel;Samba-Enredo;2019;;"[Enredo: A Saliva do Santo e o Veneno da Serpente.
Saravá, saravá. Salve o santo guerreiro. E uma vela pra saudar. Meu São Jorge Padroeiro. Saravá, saravá. Salve o santo guerreiro. E uma vela pra saudar. Meu São Jorge Padroeiro.
É, meu santo é forte. Não adianta me picar. Sou Gavião e você pode acreditar. Que não aceito traição. E o veneno da serpente. Eu transformo em semente. É o tabaco em plantação.
Erva santa curou dores. Seduziu com seus sabores. Café e rapé em Paris. A nobreza aspirava. E ficava mais feliz.
Vou, vou pra Bahia. Acende a chama. No terreiro de Iáiá. É a força da magia. Que me arrepia. E se espalha pelo ar.
Vou, vou pra Bahia. Acende a chama. No terreiro de Iáiá. É a força da magia. Que me arrepia. E se espalha pelo ar.
Saravá, saravá. Salve o santo guerreiro. E uma vela pra saudar. Meu São Jorge Padroeiro. Saravá, saravá. Salve o santo guerreiro. E uma vela pra saudar. Meu São Jorge Padroeiro.
Mulher, mulher, mulher. Quem te viu e quem te vê. O que embaça se perdeu, virou fumaça. Liberdade pra você.
É um raro prazer, sabor de emoção. Mas não abuse, que faz mal pro coração. É um raro prazer, sabor de emoção. Mas não abuse, que faz mal pro coração.
É, meu santo é forte. Não adianta me picar. Sou Gavião e você pode acreditar. Que não aceito traição. E o veneno da serpente. Eu transformo em semente. É o tabaco em plantação.
Erva santa curou dores. Seduziu com seus sabores. Café e rapé em Paris. A nobreza aspirava. E ficava mais feliz.
Vou, vou pra Bahia. Acende a chama. No terreiro de Iáiá. É a força da magia. Que me arrepia. E se espalha pelo ar.
Vou, vou pra Bahia. Acende a chama. No terreiro de Iáiá. É a força da magia. Que me arrepia. E se espalha pelo ar.
Saravá, saravá. Salve o santo guerreiro. E uma vela pra saudar. Meu São Jorge Padroeiro. Saravá, saravá. Salve o santo guerreiro. E uma vela pra saudar. Meu São Jorge Padroeiro.
Mulher, mulher, mulher. Quem te viu e quem te vê. O que embaça se perdeu, virou fumaça. Liberdade pra você.
É um raro prazer, sabor de emoção. Mas não abuse, que faz mal pro coração. É um raro prazer, sabor de emoção. Mas não abuse, que faz mal pro coração. Mas não abuse, que faz mal pro coração. Mas não abuse, que faz mal pro coração."
Unidos do Viradouro;Samba-Enredo;2019;;"Quem me viu chorar. Vai me ver sorrir. Pode acreditar, o amor está aqui. Viraviradouro iluminou. O brilho no olhar voltou.
Se tem magia, encanto no ar. Eu vou viajar ouvindo histórias. De um livro secreto. Mistérios sem fim. Vovó desperta a infância em mim. Em cada conto sou mais um menino. Que muda a sorte e sela o destino. Lançado o feitiço pra vida virar. Pro bem ou pro mal, é carnaval. E na fantasia. A minha alegria é um sonho real.
No reino da ilusão. O amor seduz o vilão. Num conto de fadas, a felicidade. Encanta o meu coração pra cantar. Deixando a tristeza do lado de lá.
E quem ousou desafiar a ira divina. Vagou no mar. Cego pela sede da ambição. Carregando a sina dessa maldição. Seres da sombria madrugada. O medo caminhou na escuridão. Mas a coragem que me faz lutar. É a esperança, razão de sonhar. Imaginar e renascer. No Sol de cada amanhecer. Das cinzas voltar. Nas cinzas vencer."
Salgueiro;Samba-Enredo;2019;;"[Enredo: Xangô.
Mora na pedreira, é a lei da Terra. Vem de Aruanda pra vencer a guerra. Eis o justiceiro da Nação Nagô. Samba corre gira, gira pra Xangô.
Mora na pedreira, é a lei da Terra. Vem de Aruanda pra vencer a guerra. Eis o justiceiro da Nação Nagô. Samba corre gira, gira pra Xangô.
Olori Xango eieô. Olori Xango eieô. Kabesilé, meu padroeiro. Traz a vitória pro meu Salgueiro.
Olori Xango eieô. Olori Xango eieô. Kabesilé, meu padroeiro. Traz a vitória pro meu Salgueiro.
Vai trovejar!. Abram caminhos pro grande Obá. É força, é poder, o Aláàfin de Oyó. Oba Ko so! Ao rei maior. É pedra quando a justiça pesa. O Alujá carrega a fúria do tambor. No vento, a sedução (Oyá). O verdadeiro amor (Oraiêiêô). E no sacrifício de Obà (Obà Xi Obà). Lá vem Salgueiro!.
Mora na pedreira, é a lei da Terra. Vem de Aruanda pra vencer a guerra. Eis o justiceiro da Nação Nagô. Samba corre gira, gira pra Xangô.
Mora na pedreira, é a lei da Terra. Vem de Aruanda pra vencer a guerra. Eis o justiceiro da Nação Nagô. Samba corre gira, gira pra Xangô.
Rito sagrado, ariaxé. Na igreja ou no candomblé. A bênção, meu Orixá!. É água pra benzer, fogueira pra queimar. Com seu oxê, chama pra purificar. Bahia, meus olhos ainda estão brilhando. Hoje marejados de saudade. Incorporados de felicidade. Fogo no gongá, salve o meu protetor. Canta pra saudar, Opanixé kaô!. Machado desce e o terreiro treme. Ojuobá! Quem não deve não teme."
Beija-Flor de Nilópolis;Samba-Enredo;2019;;"[Enredo: Quem Não Viu Vai Ver… As Fábulas do Beija-Flor.
Oh, deusa. Tem festa no meu coração. Desfilo toda gratidão. Razão do meu cantar, a luz do meu viver. O que seria de mim sem você?.
Oh, deusa. Tem festa no meu coração. Desfilo toda gratidão. Razão do meu cantar, a luz do meu viver. O que seria de mim sem você?.
Nascido feito o rei menino. Em ninho de amor e humildade. Meu pai direcionou o meu destino. Voar nas asas da felicidade.
E arrisquei um voo nesse lindo azul. Um mundo encantado pude recordar. Em fábulas bordei a fantasia. Ê, saudade que mareja o meu olhar.
Herdeiro dessa terra me tornei. Cantei nossos recantos, tradições. Sou eu aquele festival de prata. Que na pista arrebata tantos corações.
Ô ô ô ô, axé que no sangue herdei. No meu quilombo, todo negro é rei. Abre a senzala! Abre a senzala, ô!. Nesse terreiro o samba é a voz que não cala. Abre a senzala! Abre a senzala, ô!. Nesse terreiro o samba é a voz que não cala.
Cresci ouvindo acordes entre doces melodias. A bela dama retratada em poesia, e o canto de cristal. A simplicidade no amor, aquele beijo na flor. Fez mais um sonho real.
Pátria amada da ganância. Eu pedi socorro pelos filhos teus. Algoz da intolerância. Mesmo proibido, fui a voz de Deus.
Toda essa grandeza vem da nossa gente. Que esquece a dor e só quer sambar. É por esse amor que o meu valor me faz brilhar. Comunidade me ensinou. A ser apaixonado como eu sou, eu sou. Ontem, hoje, sempre Beija-Flor."
